
Predictions were generated on 08-Sep-2020 at 15:27:37 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.724000	 1.754E-03	 8.968E-05	-4.277E-08
       0.726000	 1.753E-03	 8.506E-05	-4.269E-08
       0.728000	 1.752E-03	 8.047E-05	-4.261E-08
       0.730000	 1.750E-03	 7.593E-05	-4.253E-08
       0.732000	 1.749E-03	 7.142E-05	-4.244E-08
       0.734000	 1.747E-03	 6.695E-05	-4.234E-08
       0.736000	 1.746E-03	 6.251E-05	-4.225E-08
       0.738000	 1.744E-03	 5.811E-05	-4.215E-08
       0.740000	 1.742E-03	 5.374E-05	-4.205E-08
       0.742000	 1.740E-03	 4.941E-05	-4.195E-08
       0.744000	 1.738E-03	 4.511E-05	-4.184E-08
       0.746000	 1.736E-03	 4.084E-05	-4.173E-08
       0.748000	 1.734E-03	 3.660E-05	-4.162E-08
       0.750000	 1.732E-03	 3.239E-05	-4.151E-08
       0.752000	 1.730E-03	 2.821E-05	-4.139E-08
       0.754000	 1.728E-03	 2.406E-05	-4.127E-08
       0.756000	 1.725E-03	 1.994E-05	-4.115E-08
       0.758000	 1.723E-03	 1.584E-05	-4.103E-08
       0.760000	 1.721E-03	 1.177E-05	-4.091E-08
       0.762000	 1.718E-03	 7.731E-06	-4.078E-08
       0.764000	 1.716E-03	 3.715E-06	-4.066E-08
       0.766000	 1.713E-03	-2.741E-07	-4.053E-08
       0.768000	 1.711E-03	-4.237E-06	-4.040E-08
       0.770000	 1.708E-03	-8.174E-06	-4.027E-08
       0.772000	 1.705E-03	-1.208E-05	-4.014E-08
       0.774000	 1.703E-03	-1.597E-05	-4.000E-08
       0.776000	 1.700E-03	-1.982E-05	-3.987E-08
       0.778000	 1.697E-03	-2.365E-05	-3.974E-08
       0.780000	 1.694E-03	-2.744E-05	-3.960E-08
       0.782000	 1.691E-03	-3.121E-05	-3.946E-08
       0.784000	 1.688E-03	-3.494E-05	-3.933E-08
       0.786000	 1.685E-03	-3.864E-05	-3.919E-08
       0.788000	 1.683E-03	-4.231E-05	-3.906E-08
       0.790000	 1.680E-03	-4.594E-05	-3.892E-08
       0.792000	 1.677E-03	-4.953E-05	-3.878E-08
       0.794000	 1.673E-03	-5.308E-05	-3.864E-08
       0.796000	 1.670E-03	-5.659E-05	-3.851E-08
       0.798000	 1.667E-03	-6.006E-05	-3.837E-08
       0.800000	 1.664E-03	-6.348E-05	-3.823E-08
       0.802000	 1.661E-03	-6.685E-05	-3.810E-08
       0.804000	 1.658E-03	-7.018E-05	-3.796E-08
       0.806000	 1.655E-03	-7.345E-05	-3.783E-08
       0.808000	 1.652E-03	-7.667E-05	-3.769E-08
       0.810000	 1.649E-03	-7.983E-05	-3.756E-08
       0.812000	 1.645E-03	-8.294E-05	-3.742E-08
       0.814000	 1.642E-03	-8.599E-05	-3.729E-08
       0.816000	 1.639E-03	-8.897E-05	-3.715E-08
       0.818000	 1.636E-03	-9.190E-05	-3.702E-08
       0.820000	 1.632E-03	-9.476E-05	-3.689E-08
       0.822000	 1.629E-03	-9.755E-05	-3.676E-08
       0.824000	 1.626E-03	-1.003E-04	-3.663E-08
       0.826000	 1.623E-03	-1.029E-04	-3.649E-08
       0.828000	 1.619E-03	-1.055E-04	-3.636E-08
       0.830000	 1.616E-03	-1.080E-04	-3.623E-08
       0.832000	 1.613E-03	-1.105E-04	-3.610E-08
       0.834000	 1.609E-03	-1.128E-04	-3.597E-08
       0.836000	 1.606E-03	-1.151E-04	-3.584E-08
       0.838000	 1.603E-03	-1.174E-04	-3.571E-08
       0.840000	 1.599E-03	-1.195E-04	-3.558E-08
       0.842000	 1.596E-03	-1.216E-04	-3.545E-08
       0.844000	 1.593E-03	-1.236E-04	-3.532E-08
       0.846000	 1.589E-03	-1.255E-04	-3.519E-08
       0.848000	 1.586E-03	-1.274E-04	-3.506E-08
       0.850000	 1.582E-03	-1.291E-04	-3.493E-08
       0.852000	 1.579E-03	-1.309E-04	-3.480E-08
       0.854000	 1.575E-03	-1.325E-04	-3.466E-08
       0.856000	 1.572E-03	-1.341E-04	-3.453E-08
       0.858000	 1.568E-03	-1.355E-04	-3.439E-08
       0.860000	 1.564E-03	-1.370E-04	-3.426E-08
       0.862000	 1.561E-03	-1.383E-04	-3.412E-08
       0.864000	 1.557E-03	-1.396E-04	-3.398E-08
       0.866000	 1.553E-03	-1.408E-04	-3.384E-08
       0.868000	 1.550E-03	-1.420E-04	-3.369E-08
       0.870000	 1.546E-03	-1.431E-04	-3.355E-08
       0.872000	 1.542E-03	-1.441E-04	-3.340E-08
       0.874000	 1.538E-03	-1.451E-04	-3.325E-08
       0.876000	 1.534E-03	-1.460E-04	-3.310E-08
       0.878000	 1.530E-03	-1.468E-04	-3.295E-08
       0.880000	 1.526E-03	-1.476E-04	-3.280E-08
       0.882000	 1.522E-03	-1.483E-04	-3.264E-08
       0.884000	 1.517E-03	-1.490E-04	-3.248E-08
       0.886000	 1.513E-03	-1.496E-04	-3.232E-08
       0.888000	 1.509E-03	-1.501E-04	-3.215E-08
       0.890000	 1.505E-03	-1.506E-04	-3.198E-08
       0.892000	 1.500E-03	-1.511E-04	-3.181E-08
       0.894000	 1.496E-03	-1.514E-04	-3.164E-08
